No,Merk,Model,CPU,GPU,RAM,Storage,Harga
1,HP,OMNIBOOK 7 AERO AI 13,RYZEN AI 7 350,Integrated,16GB,512GB,Rp 16.199.000
2,ASUS,ROG STRIX SCAR 16 G635LW,ULTRA 9 275HX,RTX5080,16GB/32GB,2TB,Rp 79.599.000
3,DELL,PRO 15 ESSENTIAL PV15255,RYZEN 3 7320,Integrated,8GB,512GB,Rp 8.999.000
4,AXIOO,HYPE 5 AMD X6,RYZEN 5 6600H,Integrated,16GB,512GB,Rp 9.449.000
5,ASUS,EXPERTBOOK PM1403CDA,RYZEN 5 150,Integrated,16GB,512GB,Rp 10.850.000
6,AXIOO,HYPE 7 AMD X7-2,RYZEN 7 5825,Integrated,8GB,512GB,Rp 7.949.000
7,ASUS,ZENBOOK A14 UX3407QA,SNAPDRAGON X X126100,Integrated,16GB,512GB,Rp 16.549.000
8,AXIOO,HYPE 1,N4020,Integrated,8GB,128GB,Rp 4.199.000
9,ADVAN,TBOOK,N100,Integrated,8GB,128GB,Rp 4.599.000
10,MSI,CYBORG 15,I7 13620H,RTX3050 6GB,16GB,512GB,Rp 15.599.000
11,LENOVO,IDEAPAD SLIM 3 14,I3 1315,Integrated,8GB,256GB,Rp 7.899.000
12,ASUS,ROG ZEPHYRUS G14 OLED,RYZEN AI 9 465,RTX5060 8GB,32GB,1TB,Rp 39.249.000
13,INFINIX,INBOOK X2 2025,I5 1334,Integrated,8GB,512GB,Rp 7.599.000
14,MSI,CYBORG 15,CORE I5 210H,RTX5060 8GB,16GB,512GB,Rp 19.099.000
15,ASUS,TUF A16 FA608UH,RYZEN 7 260,RTX5050 8GB,16GB,512GB,Rp 21.999.000
16,AXIOO,HYPE 10,N4020,Integrated,8GB,256GB,Rp 4.899.000
17,ASUS,ROG STRIX G16 G614PP,RYZEN 9 8940HX,RTX5070 8GB,32GB,1TB,Rp 37.829.000
18,LENOVO,IDEAPAD 5 2IN1 14 TOUCH,I7 13620H,Integrated,16GB,512GB,Rp 18.699.000
19,AXIOO,PONGO 735,I7 13620H,RTX3050 6GB,16GB,512GB,Rp 14.499.000
20,AXIOO,PONGO 725 V2,I7 13620H,RTX2050 4GB,16GB,512GB,Rp 13.849.000
21,ADVAN,WORKMATE,RYZEN 5 3500,Integrated,8GB,256GB,Rp 5.729.000
22,AXIOO,HYPE-R 3 TOUCH,I3 1215,Integrated,12GB,256GB,Rp 8.040.000
